Dorsal.scute,C4A
2.62,0.81
2.91,0.8
3.04,1.02
3.13,0.99
3.16,1.28
3.17,0.75
3.18,1.13
3.19,0.79
3.2,0.74
3.27,1.08
3.28,0.83
3.28,0.7
3.32,1.44
3.33,1.5
3.35,1.04
3.36,1.21
3.38,1.04
3.4,1.1
3.4,1.23
3.41,1.06
3.42,1.37
3.44,1.51
3.44,1.23
3.47,1.49
3.47,1.38
3.47,1.42
3.48,1.52
3.48,1.18
3.48,1.46
3.48,1.35
3.5,1.73
3.51,1.36
3.51,1.81
3.52,1.29
3.53,1.28
3.55,1.72
3.55,1.36
3.56,1.82
3.57,1.43
3.58,1.59
3.59,1.2
3.59,0.95
3.6,1.35
3.6,1.32
3.62,1.72
3.62,1.34
3.66,1.77
3.66,1.5
3.68,1.79
3.68,1.56
3.69,1.08
3.69,1.69
3.7,1.63
3.7,1.57
3.71,1.74
3.79,1.82
3.83,1.94
3.86,1.69
3.89,1.86
3.91,1.76
3.92,1.87
4,1.81
4,1.73
4.02,1.8